SN,Time,EO2 - Flow - F202,EO3 - Power,EO3 - Flow - F210,G1 - Vifte,EO5 - AO0 - Power,EO5 - AO1 - Flow - F-EO5,EO5 - AO2 - T1 - T-EO5in,EO5 - AO3 - T2 - T-EO5ut,EO7 - AO0 - Power1,EO7 - AO1 - Flow - F205,EO7 - AO2 - Power2,EO7 - AO3 - T2 - T-EO7ut,Strømmåling JP2,Strømmåling JP3,Strømmåling JP4,T1,T7,T13,T29,T32,T37,T40,T42,T52,T74,T80,T113,T132,T137,T138,T147,T153,T162,T301,T302,TC4 - Ledig 12,TC5 - Ledig 11,TC6 - Ledig 10,TC7 - Ledig 9,TC8 - Ledig 8,TC9 - Ledig 7,TC10 - Ledig 6,TC11 - Ledig 5,TC12 - Ledig 4,TC13 - Ledig 3,TC14 - Ledig 2,TC15 - Ledig 1,Vifte SP,JP1 SP,Y221 SP,Y223,Y224 SP,Y301 SP,Y302 SP,Y303 SP,Y304 SP,AO9 - Ledig 7,AO10 - Ledig 6,AO11 - Ledig 5,AO12 - Ledig 4,AO13 - Ledig 3,AO14 - Ledig 2,AO15 - Ledig 1,Heater ON,JP1 - Power start,JP2 start,JP3 start,JP4 start,JP5 start,JP301 start,Vifte start,JP1 start,DO9 - K10 - Ledig 23,DO10 - Ledig 22,DO11 - Ledig 21,DO12 - Ledig 20,DO13 - Ledig 19,DO14 - Ledig 18,DO15 - Ledig 17,DO16 - Ledig 16,DO17 - Ledig 15,DO18 - Ledig 14,DO19 - Ledig 13,DO20 - Ledig 12,DO21 - Ledig 11,DO22 - Ledig 10,DO23 - Ledig 9,DO24 - Ledig 8,DO25 - Ledig 7,DO26 - Ledig 6,DO27 - Ledig 5,DO28 - Ledig 4,DO29 - Ledig 3,DO30 - Ledig 2,DO31 - Ledig 1,EO8,EO8 - AO1 - Flow - F206,EO8 - AO2 - Power2,EO8 - AO3 - T2 - T-EO8ut,EO1 - AO0 - Power,EO1 - AO1 - Flow - F-EO1,EO1 - AO2 - T1 - T-EO1in,EO1 - AO3 - T2 - T-EO1ut,EO4 - AO0 - Power,EO4 - AO1 - Flow - F-EO4,EO4 - AO2 - T1 - T-EO4in,EO4 - AO3 - T2 - T-EO4ut,AI12 - Ledig 4,AI13 - Ledig 3,AI14 - Ledig 2,AI15 - Ledig 1,,,error
1,11:53:49,0.043129921,0.013428926,86.62988842,68.57309788,2.098533511,494.7825596,44.68863845,40.70833147,-0.045973063,-0.592294335,-0.11747539,31.49474859,0.347429693,0.176786333,0.224735081,44.32488221,40.2424117,43.94867192,35.84963595,26.36719662,21.77689292,28.44659352,28.42729922,26.52265074,26.5971687,24.9516453,39.6721688,39.35772445,40.26877966,39.86934431,32.41003014,37.34306819,40.07164218,37.6988813,46.00912281,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,69.99719245,49.99926181,99.99855973,19.9966893,4.99776945,-0.00311145,-0.00104216,99.99608915,99.9974136,-0.000203758,-4.07E-05,-4.03E-05,-0.000199554,-3.67E-05,-5.47E-05,-1.18E-05,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.057363838,105.4593354,1.999595761,26.95921004,2.294737101,462.4365047,44.96977508,40.65909863,1.888049841,102.7471349,44.28808808,26.88969791,-7.87E-09,-1.84E-08,-4.98E-08,-8.92E-08,,,5.0483547
2,11:53:50,0.034573674,0.013305992,86.60412133,68.501468,2.097274661,494.7919026,44.68822539,40.70762336,-0.047104061,-0.59504807,-0.115567446,31.49579108,0.347270042,0.176787972,0.215202242,44.32488221,40.2424117,43.94867192,35.84963595,26.36719662,21.77689292,28.44659352,28.42729922,26.52265074,26.5971687,24.9516453,39.6721688,39.35772445,40.26877966,39.86934431,32.41003014,37.34306819,40.07164218,37.6988813,46.00912281,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,-56852.53699,69.99719245,49.99926181,99.99855973,19.9966893,4.99776945,-0.00311145,-0.00104216,99.99608915,99.9974136,-0.000203758,-4.07E-05,-4.03E-05,-0.000199554,-3.67E-05,-5.47E-05,-1.18E-05,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.057552338,105.4500908,1.999595761,26.95921004,2.294737101,462.4365047,44.96977508,40.65909863,1.888049841,102.7471349,44.2879504,26.88969791,-7.87E-09,-1.84E-08,-4.98E-08,-8.92E-08,,,5.0483547
3,11:53:51,0.023952127,0.013469905,86.59802377,68.54831427,2.097609043,494.7801009,44.68891382,40.70844948,-0.04716143,-0.597310066,-0.117731094,31.49474859,0.34757787,0.176895171,0.212546527,44.36550476,40.25810565,43.99416332,35.84445542,26.37057677,21.79135523,28.55867286,28.43838261,26.52944828,26.60601594,24.95892262,39.66569704,39.25889578,40.27295118,39.8628751,32.41832103,37.36301601,40.0704234,37.68228868,46.097291,-56852.90706,-56852.90706,-56852.90706,-56852.90706,-56852.90706,-56852.90706,-56852.90706,-56852.90706,-56852.90706,-56852.90706,-56852.90706,-56852.90706,69.99719245,49.99926181,99.99855973,19.9966893,4.99776945,-0.00311145,-0.00104216,99.99608915,99.9974136,-0.000203758,-4.07E-05,-4.03E-05,-0.000199554,-3.67E-05,-5.47E-05,-1.18E-05,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.057667077,105.4499924,2.000618577,26.95683002,2.295287848,462.4367505,44.96957839,40.65915763,1.888777614,102.7331203,44.28773403,26.88857675,-4.98E-08,-3.67E-08,1.05E-08,-9.70E-08,,,5.04107738
4,11:53:52,0.041162968,0.0112243,86.62497103,68.64308864,2.096841931,494.7801009,44.68869746,40.70874453,-0.04857108,-0.609996915,-0.117003322,31.49685323,0.347332001,0.176832229,0.215779543,44.56484611,40.27875398,44.01026028,35.82840125,26.37403954,21.80751181,28.47292701,28.45272583,26.54225356,26.62519908,24.96994106,39.65353762,39.26249017,40.27897555,39.87067841,32.42939489,37.36337746,40.07455112,37.65569905,46.19160206,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,69.99719245,49.99926181,99.99855973,19.9966893,4.99776945,-0.00311145,-0.00104216,99.99608915,99.9974136,-0.000203758,-4.07E-05,-4.03E-05,-0.000199554,-3.67E-05,-5.47E-05,-1.18E-05,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.057298273,105.4510742,1.99922204,26.95970178,2.295110822,462.432079,44.96961772,40.65896094,1.887794137,102.7532816,44.28812742,26.88906848,-2.88E-08,-6.03E-08,-5.25E-09,-7.87E-08,,,5.03005894
5,11:53:53,0.037917495,0.012224168,86.61326766,68.60091388,2.098297477,494.7756752,44.68704522,40.7060498,-0.047251582,-0.604882836,-0.117239356,31.49496496,0.346827149,0.176826328,0.222644538,44.56484611,40.27875398,44.01026028,35.82840125,26.37403954,21.80751181,28.47292701,28.45272583,26.54225356,26.62519908,24.96994106,39.65353762,39.26249017,40.27897555,39.87067841,32.42939489,37.36337746,40.07455112,37.65569905,46.19160206,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,-56853.1844,69.99719245,49.99926181,99.99855973,19.9966893,4.99776945,-0.00311145,-0.00104216,99.99608915,99.9974136,-0.000203758,-4.07E-05,-4.03E-05,-0.000199554,-3.67E-05,-5.47E-05,-1.18E-05,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.056929469,105.4524511,2.000166178,26.95856094,2.294697762,462.4232277,44.96932268,40.65911829,1.887577772,102.7358249,44.28800941,26.88883245,-4.20E-08,-6.56E-08,-7.61E-08,5.25E-09,,,5.03005894
6,11:53:54,0.033885241,0.013305992,86.61543131,68.66893768,2.097707391,498.8052249,44.82722998,40.79694271,-0.047087669,-0.598588586,-0.117160678,31.49510264,0.347358882,0.176880091,0.21637094,44.49521196,40.30114505,43.9662849,35.8053866,26.37336909,21.80061991,28.29836504,28.44275182,26.53656969,26.61131333,24.96309513,39.64889192,39.28781303,40.28231216,39.86226493,32.41837696,37.35878216,40.06975916,37.66447083,45.40292724,-56853.94322,-56853.94322,-56853.94322,-56853.94322,-56853.94322,-56853.94322,-56853.94322,-56853.94322,-56853.94322,-56853.94322,-56853.94322,-56853.94322,69.99719245,49.99926181,99.99855973,19.9966893,4.99776945,-0.00311145,-0.00104216,99.99608915,99.9974136,-0.000203758,-4.07E-05,-4.03E-05,-0.000199554,-3.67E-05,-5.47E-05,-1.18E-05,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05681473,105.4495007,2.000421882,26.95985913,2.295051813,462.4404386,44.97003078,40.65903962,1.888030171,102.7486101,44.28830445,26.88871443,-8.39E-08,-9.97E-08,5.25E-09,-3.41E-08,,,5.03690487
7,11:53:55,0.050997734,0.011380017,86.61936522,68.4821263,2.096310854,498.7845719,44.8285675,40.79900801,-0.046595931,-0.610390306,-0.115606785,31.49411917,0.347278893,0.176903695,0.22417745,44.45468034,40.29195906,43.99103757,35.79812918,26.39081774,21.79314798,28.56021333,28.44400927,26.53099528,26.6153099,24.95338651,39.6487898,39.28438069,40.2886356,39.85794951,32.42300104,37.36805849,40.0674587,37.6556998,46.25379249,-56853.82589,-56853.82589,-56853.82589,-56853.82589,-56853.82589,-56853.82589,-56853.82589,-56853.82589,-56853.82589,-56853.82589,-56853.82589,-56853.82589,69.99719245,49.99926181,99.99855973,19.9966893,4.99776945,-0.00311145,-0.00104216,99.99608915,99.9974136,-0.000203758,-4.07E-05,-4.03E-05,-0.000199554,-3.67E-05,-5.47E-05,-1.18E-05,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.057298273,105.4574668,1.998592615,26.96001649,2.294383049,462.4296203,44.96953905,40.65957069,1.888384223,102.7390212,44.28787172,26.88946187,-2.62E-08,-4.46E-08,-2.36E-08,-1.57E-07,,,5.04661349
8,11:53:56,0.021985173,0.010314584,86.62349582,68.62514019,2.098513842,498.7929314,44.82878387,40.80010951,-0.047546625,-0.607046485,-0.116295218,31.49478793,0.347092688,0.176892221,0.211001486,44.39258197,40.27632032,43.9858508,35.79419808,26.38042645,21.79416484,28.55304615,28.46793724,26.53268572,26.60742997,24.9756609,39.64267063,39.2374048,40.29781218,39.85405048,32.42399555,37.35187377,40.05379999,37.64910253,46.16080767,-56853.40072,-56853.40072,-56853.40072,-56853.40072,-56853.40072,-56853.40072,-56853.40072,-56853.40072,-56853.40072,-56853.40072,-56853.40072,-56853.40072,69.99719245,49.99926181,99.99855973,19.9966893,4.99776945,-0.00311145,-0.00104216,99.99608915,99.9974136,-0.000203758,-4.07E-05,-4.03E-05,-0.000199554,-3.67E-05,-5.47E-05,-1.18E-05,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.057372034,105.4502875,1.996527314,26.96019351,2.29516983,462.4431431,44.96888995,40.65888226,1.887715459,102.7451679,44.28830445,26.88910782,-2.36E-08,-5.25E-08,2.62E-09,-8.39E-08,,,5.0243391
9,11:53:57,0.052964687,0.012191385,86.61759496,68.52153093,2.097018957,498.8076836,44.82722998,40.79934239,-0.046382844,-0.602522492,-0.115921497,31.71260834,0.347230375,0.176885009,0.215527445,44.31475359,40.3006672,43.96801002,35.78925376,26.39088693,21.79874233,28.30968217,28.45928615,26.54291497,26.61834119,24.97883583,39.64575124,39.05905574,40.30221811,39.84271542,32.43319999,37.35389777,40.04894126,37.62506377,46.31782743,-56852.17142,-56852.17142,-56852.17142,-56852.17142,-56852.17142,-56852.17142,-56852.17142,-56852.17142,-56852.17142,-56852.17142,-56852.17142,-56852.17142,69.99719245,49.99926181,99.99855973,19.9966893,4.99776945,-0.00311145,-0.00104216,99.99608915,99.9974136,-0.000203758,-4.07E-05,-4.03E-05,-0.000199554,-3.67E-05,-5.47E-05,-1.18E-05,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.056929469,105.4622859,1.998592615,26.95881665,2.295130491,462.4335542,44.96928334,40.65907896,1.888305545,102.7400047,44.28822577,26.88904881,-4.72E-08,-8.65E-08,-9.97E-08,-3.93E-08,,,5.02116417
10,11:53:58,0.048243999,0.012592971,86.62241399,68.59960258,2.09733367,498.7941608,44.82844949,40.79839826,-0.046374649,-0.601145625,-0.117809772,31.7157948,0.347485095,0.177030891,0.212869108,44.35389041,40.30489081,44.01487124,35.78144238,26.39477671,21.80105873,28.55802719,28.46361311,26.54611984,26.63430522,24.98456628,39.64443415,39.14080016,40.31264527,39.86002662,32.42555998,37.37167004,40.07016404,37.6432718,46.8514797,-56855.16801,-56855.16801,-56855.16801,-56855.16801,-56855.16801,-56855.16801,-56855.16801,-56855.16801,-56855.16801,-56855.16801,-56855.16801,-56855.16801,69.99719245,49.99926181,99.99855973,19.9966893,4.99776945,-0.00311145,-0.00104216,99.99608915,99.9974136,-0.000203758,-4.07E-05,-4.03E-05,-0.000199554,-3.67E-05,-5.47E-05,-1.18E-05,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.057306468,105.4533362,1.999064684,26.95956409,2.294658422,462.4379799,44.9687326,40.65852821,1.986771226,106.7257896,44.40651834,26.96894646,-9.44E-08,2.36E-08,-4.72E-08,-1.21E-07,,,5.01543372
